Código;nombre;precio
12755;"SALIDA ESTANQUE PVC HIDRAULICO 20 MM X 1/2"" (50259)(E10)";1854
12761;TAPAGORRO PVC HI HIDRAULICO 40 MM (20634) (E15);1043
12767;COPLA PVC CONDUIT C-III 40MM NOVOPLAST (50519)(E10);630
12768;COPLA PVC CONDUIT C-III 50MM NOVOPLAST (50520(E10);821
12773;"SALIDA ESTANQUE PVC HIDRAULICO 32 MM X 1"" (50647)(E5)";2360
12880;"**CANERIA COBRE 1/2"" TIPO L TIRA 6 MTS (E1)";49210
12887;"**CAÑERIA COBRE  3/4"" TIPO L TIRA 6 MTS (E1)";65510
12891;**CANERIA COBRE  1/2 TIPO M TIRA 6 MTS (E1) (1000388392);35990
12892;"CAÑERIA COBRE  3/4"" TIPO M TIRA 6 MTS (E1)";62660
12893;"**CANERIA COBRE  1"" TIPO M TIRA 6 MTS (E1)";66300
13045;"COPLA BRONCE SO - SO  1/2"" (1003270929)  (E200)";670
13046;"COPLA BRONCE SO - SO  3/4 X 1/2"" (10PL1011153) (E100)";1590
13047;"COPLA BRONCE SO - SO  3/4"" (10PL1011150) (E1)";1920
13049;"COPLA BRONCE SO - SO  1 X 3/4"" (10CX1011254) (E1)";3710
13050;"COPLA BRONCE SO - SO  1""  (10CX1011250) (E1)";6940
130741;BARRA CORTINA BAÑO CROM. 3/4 X 3 MTS LISO C/FL METALHSA (20050300) (E10);18300
13075;"TERMINAL BRONCE SO HI 1/2 ""  (1003270933) (E200)";1140
13078;"TERMINAL BRONCE SO - HI  3/4""  (10PL0512150) (E1)";2680
13079;"TERMINAL BRONCE SO - HI  1""  (10PL0512250) (E1)";4246
130810;(CD) CAMARA RUEDA CARRETILLA (102332003) (E1);3980
13087;"TERMINAL BRONCE SO - HE  1/2"" (1003270931) (E200)";1470
13089;"TERMINAL BRONCE SO - HE 3/4"" (1003270930)  (E100)";2550
130901;COLA FRIA MOWICOL RAPIDO PROFESIONAL BOLSA 1 KG) (MW30011000) (e12);7360
130902;COLA FRIA MOWICOL SUPER BOLSA/BOTELLA  1 KG (MW20011000) (e12);6510
130903;CAVE II PLUG DOYPACK 2KG CAVE (201003)(E12);11710
13091;"TERMINAL BRONCE SO - HE 1"" (10PL0513250)(E1)";3856
13100;"CODO BRONCE SO - HE  1/2"" (1003270934) (E100)";1660
13101;"CODO BRONCE SO - HE  3/4""  (10CX0113150) (E1)";2626
131016;SOPORTE CORTINA SIMPLE 12 MM METALHSA (20100021) (E50);2510
131017;SOPORTE CORTINA DOBLE 12 MM METALHSA (20110005)  (E25);4700
131021;TRAMPA P/RATON LIOI ZINCACA (E-12)(51360200);5540
13108;"CODO BRONCE SO - SO  1/2"" (1003270938)  (E200)";1090
13109;"CODO BRONCE SO - SO  3/4 X 1/2""  (10PL0111153) (E1)";2019
13110;"CODO BRONCE SO - SO  3/4""   (1003270937) (E100)";2315
13112;"CODO BRONCE SO - SO  1 X 3/4""  (E1) (080654000-T)";2910
13113;" CODO BRONCE SO - SO  1"" ( 10PL0111250) (E1)";4310
13131;CODO BRONCE SO HI 1/2   (1003270936) (E100);1820
13134;"CODO BRONCE SO - HI 3/4""  (1003270935) (E50)";6019
13143;"TEE BRONCE SO - SO  1/2""  (1003270926) (E100)";1250
131470;OVEROL POPLIN AZUL C/CINTA REFLEC TALLA M (BUFALO) LIOI;9104
13149;"TEE BRONCE SO - SO  1/2X 3/4 X 3/4"" (10PL1511174) (E1)";4110
13150;"TEE BRONCE SO - SO  3/4"" (10PL15111150) (E1)";3400
13154;"TEE BRONCE SO - SO  1 X 1 X 3/4""  (E1) (081355402-7)";5100
13155;"TEE BRONCE SO - SO  1"" (10CX1511250) (E1)";7470
13182;"TEE BRONCE SO - HI  1/2"" (10PL1512100) (E1)";3198
13190;"UNION AMERICANA BRONCE SO-SO  1/2"" (10CX2511100) (E1)";6589
13191;"UNION AMERICANA BRONCE SO-SO  3/4""  (10CX2511150)(E1)";9091
131910;PUNTA ATORNILLADOR PH2 50MM IMANTADO TOMA 1/4 HEMIC(8832PH250)(E10);1320
131912;PUNTA ATORNILLADOR PH3 50MM IMANTADO TOMA 1/4 ECEF(6610PH25010)(E10);1715
131914;PUNTA ATORNILLADOR PH2 65MM IMANTADO DOBLE PUNTA TOMA 1/4 HEMIC(8832PH265)(E10);1570
131916;PUNTA ATORNILLADOR PH2+SL6 65MM IMANTADO TOMA 1/4 HEMIC(8832COM65)(E10);1570
131917;SET PUNTA ATORNILLADOR PHILLIPS PH2 CRUZ 25MM X 10 UN. TOMA 1/4 (APAB-010) (E10);5950
131918;PUNTA ATORNILLADOR TORX-20 50MM TOMA 1/4 HEMIC(8834T2050)(E10);1350
